Voix F2S Literature Survey Document (25 Papers),,,,,,,,,,,
No.,Title,Authors,Year,Theme,Problem Solved,      Input → Output,Architecture,Loss / Objective,Key Result,Limitations,Relevance to Project (Voix)
11,StyleTTS 2: Towards Human-Level TTS through Style Diffusion and Adversarial Training with Large SLMs,"Li, Han, Raghavan, Mischler, Mesgarani",2023,Text-to-speech synthesis,Removes StyleTTS's dependence on reference audio and two-stage vocoder training that limited expressiveness/real-time use.,"Phonemes (+ optional reference audio) → raw waveform, end-to-end (no separate vocoder).","Text/style encoders, text aligner, pitch extractor, duration/prosody predictors, HifiGAN/iSTFTNet decoder w/ AdaIN, style diffusion sampler (EDM), MPD/MRD discriminators, WavLM as SLM discriminator.",Lmel (L1) + Ladv/Lfm + Ldur/Lf0/Ln + SLM adversarial loss Lslm via differentiable duration modeling.,"CMOS +1.07 vs NaturalSpeech and +0.28 vs ground truth on LJSpeech; near-human on VCTK (CMOS −0.02); MOS 3.83, best among compared models.",Zero-shot similarity on LibriTTS still slightly below Vall-E despite ~250× less training data; diffusion sampling adds inference cost.,Motivates diffusion-sampled style latents + SLM adversarial discriminators for realistic audio without paired reference conditioning at inference.
12,NaturalSpeech 3: Zero-Shot Speech Synthesis with Factorized Codec and Diffusion Models,"Ju, Wang, Shen, Tan, Xin, Yang, et al.",2024,Zero-shot TTS via disentangled representation learning,"Prior neural-codec TTS entangles content, prosody, timbre, acoustic detail across RVQ levels, hurting quality/similarity/prosody.","Text + prompt speech → factorized codes (content, prosody, timbre, detail) → waveform.",FACodec (Factorized Vector Quantization codec disentangling 4 subspaces) + factorized diffusion model generating duration/content/prosody/detail per prompt.,Information-bottleneck + supervised disentanglement losses + adversarial reconstruction (FACodec) + diffusion losses per subspace.,"Comparable/better than ground truth CMOS on LibriSpeech; Sim-O 0.64→0.67, SMOS 3.69→4.01; WER 1.94→1.81; scaled to 1B params/200K hrs.",Multi-subspace factorization with separate prompts per attribute increases system/training complexity.,Shows factorizing speech into disentangled latent subspaces (content/prosody/timbre/detail) improves controllability — pattern for VOIX's attribute control.
13,Learning Structured Output Representation using Deep Conditional Generative Models,"Sohn, Yan, Lee",2015,Structured output prediction via conditional generative modeling,"Deterministic CNNs can't model multi-modal one-to-many mappings (e.g., segmentation); adds stochastic latents for diverse predictions.",Image x (+ optional partial y) → structured label map y sampled via latent z.,"Conditional VAE (CVAE): recognition net qφ(z|x,y), conditional prior pθ(z|x), generation net pθ(y|x,z); also GSNN variant + hybrid objective.","−KL(qφ(z|x,y)‖pθ(z|x)) + E[log pθ(y|x,z)]; hybrid = α·L_CVAE + (1−α)·L_GSNN.","GSNN(msc,NI) 93.91% pixel acc/85.39 IoU on CUB test; CVAE(importance sampling) negative CLL 63.91 vs NN's 99.75 on MNIST (1 quadrant).","Training (reconstructs y) differs from testing (prior-only sampling), causing train/test discrepancy — motivated the GSNN fix.","Foundational CVAE formulation underlying conditional generative/diffusion approaches VOIX may use for diverse, stochastic structured predictions."
14,β-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,"Higgins, Matthey, Pal, Burgess, Glorot, Botvinick, Mohamed, Lerchner",2017,Unsupervised disentangled representation learning,No principled unsupervised method learns interpretable factorized latents without prior knowledge of generative factors; more stable than InfoGAN.,Raw image x → reconstructed image x̂ via disentangled latent z (supports latent traversal).,"Modified VAE (encoder qφ(z|x), decoder pθ(x|z)) with extra β coefficient weighting the KL term.","L(θ,φ;x,z,β) = E[log pθ(x|z)] − β·DKL(qφ(z|x)‖p(z)), β>1.","Outperforms VAE, InfoGAN, DC-IGN on disentanglement (celebA, 3D chairs, 3D faces) qualitatively and via proposed quantitative metric.",High β trades reconstruction fidelity for disentanglement (blurrier output); no closed-form way to pick optimal β.,"Provides the β-regularized ELBO mechanism VOIX can tune to disentangle latent voice/style factors (e.g., identity vs. prosody)."
15,Flow Matching for Generative Modeling,"Lipman, Chen, Ben-Hamu, Nickel, Le",2023,Simulation-free training of continuous normalizing flows,No scalable simulation-free way to train CNFs beyond diffusion-specific score matching; prior simulation-free methods are intractable/biased.,"Noise x0~N(0,I) → data sample x1 via ODE integration of learned vector field vt.",U-Net vector-field regressor vt(x;θ) trained via Conditional Flow Matching; supports Gaussian paths incl. Optimal Transport (OT).,"LFM(θ)=E_{t,pt(x)}‖vt(x)−ut(x)‖², made tractable via per-sample Conditional Flow Matching.","FM-OT best NLL/FID/NFE on CIFAR-10 and ImageNet 32/64/128 vs DDPM, Score Matching, ScoreFlow; faster training/sampling via straight-line paths.",Their CIFAR-10 FID higher than prior works (architecture not optimized for CIFAR-10); validated mainly on image domains.,"Offers a faster, more stable alternative to diffusion (straight OT paths) VOIX can adopt for efficient generative sampling of audio/latent reps."
16,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Blattmann, Lorenz, Esser, Ommer",2022,Efficient high-resolution image synthesis,"Pixel-space diffusion is computationally expensive (hundreds of GPU-days); needs a cheaper, perceptually-equivalent training space.",Image x (+ optional text/semantic-map/bbox conditioning) → generated image via decoded latent z.,"Pretrained autoencoder (E,D) producing compressed latent z=E(x); UNet diffusion model in latent space with cross-attention conditioning (τθ).","LLDM=E‖ε−εθ(zt,t)‖²; conditional: E‖ε−εθ(zt,t,τθ(y))‖².",SOTA FID 5.11 on CelebA-HQ; FID 3.60 on class-conditional ImageNet (w/ classifier-free guidance) at far lower compute than pixel-space DMs.,VQ-regularized latents needed for best sample quality despite slightly worse reconstruction than continuous (KL) variants; SNR of latent space affects conv. sampling beyond trained resolution.,Directly informs VOIX's compressed-latent generative pipeline (encode→diffuse→decode) and cross-attention conditioning for controllable generation.
17,Morphology and development of the human vocal tract: A study using MRI,"Fitch, Giedd",1999,Human vocal tract anatomy and development,"Lack of large-sample, non-invasive data testing correlations between vocal tract length (VTL), body size, sex, and puberty.","MRI midsagittal scans (129 subjects, ages 2–25) → VTL/segment measurements correlated with height, weight, age, sex, pubertal stage.","N/A — empirical MRI study using ""curved line""/""line segment"" measurement + regression/ANOVA/MANOVA statistics.","N/A — least-squares/reduced-major-axis regression, ANOVA/MANCOVA significance testing.",Strong VTL–height correlation (r=0.926) and VTL–log body mass (r=0.941); sex difference in VTL emerges at puberty (males ~12.9mm longer pharynx).,Sample may overestimate correlation vs. general adult population (large body-size variation); supine scanning may shorten measured VTL vs. upright x-ray.,"Empirically grounds VOIX's anatomical assumptions (VTL-body size, sex-based pharynx differences) for physically plausible voice-to-body/face modeling."
18,Correlation Between the Length and Sagittal Projection of the Upper and Lower Jaw and the Fundamental Frequency,"Macari, Karam, Tabri, Sarieddine, Hamdan",2014,Craniofacial-acoustic correlation (jaw vs. pitch),Little prior work links facial skeletal (jaw) measurements to F0; tests whether jaw length/position correlates with pitch.,"Cephalometric measurements (SNA, SNB, ANB, mandible/maxilla length) + voice recording → F0/habitual frequency correlations.",N/A — clinical study; linear regression relating cephalometric variables to F0/habitual frequency (Visi-Pitch IV).,"N/A — regression correlation analysis (Pearson r, p-values).",Moderate negative correlation: F0/habitual freq vs. mandible length (r=−0.528/−0.577) and maxilla length (r=−0.473/−0.519); angular measures poorly correlated (r<0.3).,"Small sample (45 subjects, heterogeneous ages); lacks vocal tract/fold length data to substantiate mechanism; social/psychological F0 factors uncontrolled.",Supports plausibility of jaw-length-to-pitch correlations VOIX may exploit when inferring/conditioning voice pitch from facial geometry.
19,Rethinking Voice-Face Correlation: A Geometry View,"Li, Wen, Yang, Wang, Singh, Raj",2023,Voice-to-3D-face geometry reconstruction,Prior voice-face work relies on coarse semantics (gender/age/emotion); unclear if 3D geometry is predictable from voice without semantic bias.,Voice recording → predicted anthropometric measurements (AMs) → reconstructed 3D facial mesh guided by predictable AMs.,"Voice-AM-Face pipeline: CNN voice-code encoder + uncertainty-aware AM estimator, optional diffusion-based phonatory module (cross-attention U-Net), AM-guided optimization over low-dim face space.",Per-AM uncertainty-weighted regression/KL loss; diffusion loss ‖ε−εθ‖₁; reconstruction loss λ‖β‖²+Σ(Qk(Pβ)−m̂(k))²·z(k).,Hypothesis testing identifies statistically predictable AMs (mostly nose/mouth region); female subset outperforms male; phonatory module cuts error by 0.102 for predictable AMs.,"Many AMs (e.g., cranium-wide) not shown predictable with current data/models; non-predictability isn't proven, could reflect modeling/data limits.","Methodological precedent for VOIX's voice-to-face correlation features — shows which facial regions are recoverable from voice, guarding against spurious semantic shortcuts."
20,Learnable PINs: Cross-Modal Embeddings for Person Identity,"Nagrani, Albanie, Zisserman",2018,Cross-modal (face-voice) identity embedding,Face/voice recognition treated independently; no self-supervised way to jointly embed them for cross-modal retrieval of unseen identities.,Face image + voice segment (unlabeled talking-face video pairs) → joint 256-D embeddings for face↔voice verification/retrieval.,"Two-stream CNN (face subnet fθ, voice subnet gφ) mapping to shared embedding space, trained with curriculum-based hard-negative mining.",Contrastive loss over positive (same identity/video) and negative (different video) pairs; curriculum controls negative difficulty.,"Cross-modal verification AUC 73.8% (unseen-unheard, pretrained init) vs near-chance for random weights; beats SVHF-Net on N-way forced matching for all N.","Same-video pairs score slightly higher (AUC 74.5–74.6 vs 73.8), indicating minor non-identity correlations; gender dominates demographic effect.",Validates the self-supervised contrastive + curriculum training recipe for VOIX's face-voice joint embedding/cross-modal retrieval components.
21,VoxCeleb2: Deep Speaker Recognition,"Chung, Nagrani, Zisserman",2018,Large-scale speaker recognition dataset & models,"Lack of large-scale, ethnically diverse, freely available audio-visual speaker recognition datasets comparable to face datasets.",Raw audio spectrogram → fixed-length (512-D) speaker embedding for verification/identification.,VGGVox: VGG-M or ResNet-34/50 trunk CNN + pooling → embedding; softmax pretraining then contrastive fine-tuning w/ hard-negative mining.,"Cross-entropy softmax pretraining, then contrastive loss (margin α) with offline hard-negative mining.","Dataset: 1M+ utterances, 6,112 speakers, 145 nationalities; ResNet-50 (contrastive) achieves EER 3.95%/Cdet 0.429 on VoxCeleb1 test (vs VGG-M's 7.8% EER).","In the wild data has label/background noise; thresholds set loosely for VoxCeleb2 (training-only), requiring VoxCeleb1 for clean evaluation.",Supplies large-scale diverse training data and ResNet-based speaker embedding architecture VOIX can use for voice-identity representation learning.
22,Looking to Listen at the Cocktail Party: A Speaker-Independent Audio-Visual Model for Speech Separation,"Ephrat, Mosseri, Lang, Dekel, Wilson, Hassidim, Freeman, Rubinstein",2018,Audio-visual speech separation,Audio-only separation suffers the label permutation problem and struggles with multi-speaker+noise; prior AV methods were speaker-dependent.,Video (face thumbnails per speaker) + noisy mixed audio (STFT) → per-speaker complex spectrogram mask → isolated waveform.,Dilated-conv visual streams (per face) + dilated-conv audio stream → concatenated features → BLSTM + FC → complex mask per speaker.,L2 squared error between power-law compressed clean spectrogram and enhanced spectrogram (complex ratio mask).,SDR improvement up to 10.6 dB (2 speakers+noise); outperforms SOTA audio-only PIT baseline; near-perfect discrimination of AI-resynthesized vs. original speech.,"Low-SNR scenarios (""noisy bar"") degrade output quality (masking-based limitation); model isn't real-time, suited to offline post-processing.",Demonstrates a speaker-independent AV fusion architecture (dilated conv+BLSTM+masking) and clean-dataset pipeline (AVSpeech) for VOIX's multi-modal speech tasks.
23,Demographic Fairness in Multimodal Biometrics: A Comparative Analysis on Audio-Visual Speaker Recognition Systems,"Fenu, Marras",2022,Fairness/bias in multimodal (face+voice) authentication,Unclear how fusion policies (feature/model/score/decision-level) affect demographic (gender) disparity in AV speaker recognition.,Face+voice biometric example pairs → binary authentication decision (same/different) via one of 7 fusion policies.,Two ResNet-50 unimodal models (face 112×112×3; voice 512×300×1 spectrogram) fused via 7 policies (Feature/Model/Score-Avg-Max-Min/Decision-AND-OR).,"N/A new loss — EER-optimal thresholds per policy; formalizes ""algorithmic discrimination"" as performance disparity across gender classes.","Model-step fusion gives lowest EER on all 3 datasets and lowest gender disparity (e.g., gap 5.8→0.3 on VoxCeleb1-Test vs. voice-only).",Even the best fusion policy shows uneven error patterns by gender depending on which unimodal system was right/wrong; only gender studied (not age/ethnicity).,Provides an empirically validated fusion strategy (model-level fusion) VOIX can adopt to jointly improve accuracy and reduce demographic bias.
24,Svarah: Evaluating English ASR Systems on Indian Accents,"Javed, Joshi, Nagarajan, Sundaresan, Nawale, Raman, Bhogale, Kumar, Khapra",2023,ASR benchmark for accent robustness,"Existing ASR benchmarks severely underrepresent Indian accents, so ""human parity"" claims aren't validated on this diverse population.","9.6 hrs transcribed English audio (117 Indian speakers, 65 districts, 19 languages) → ASR transcriptions evaluated via WER across 8 models.","N/A new model — benchmark + evaluation of Whisper (base/medium/large), Wav2Vec2, HuBERT, WavLM, Data2Vec, NVIDIA Conformer, Azure/Google ASR.","N/A — evaluation study reporting WER, no training loss proposed.","Whisper-large: 7.2% WER on Svarah (smallest gap to native WER); self-supervised models (Wav2Vec2, HuBERT, WavLM, Data2Vec) perform far worse (24.5–33.7%).",Even Whisper-large underperforms on everyday use-case utterances (11.2% WER) due to entity names; large models hard to deploy in resource-constrained settings.,Validates need for accent-diverse evaluation before deploying VOIX's ASR/voice components in Indian-accent contexts; identifies best-generalizing model families.
25,Proactive Detection of Voice Cloning with Localized Watermarking,"San Roman, Fernandez, Elsahar, Défossez, Furon, Tran",2024,Audio watermarking for AI-generated speech detection,"Existing watermarking (e.g., WavMark) isn't detection-optimized, isn't localized, and is too slow (brute-force sync) for real-time/large-scale use.","Raw waveform s → watermarked audio s_w=s+δ, plus sample-level detection probability D(s)∈[0,1]^T + optional attribution bits.",Generator/detector pair (EnCodec-based): generator produces additive watermark δ; detector outputs per-sample detection logits (+optional k-bit attribution layers).,"Perceptual losses (ℓ1, multi-scale Mel, adversarial STFT, novel TF-Loudness) + masked sample-level BCE localization loss + optional decoding loss.","AudioSeal: avg AUC 0.97 (vs WavMark's 0.84); IoU 0.99 for 1s segments (vs 0.35); detection 485× faster, generation 14× faster than WavMark.",White-box attacks (detector access) raise detection error ~80% while preserving quality — detector weights must stay confidential; multi-bit attribution has higher false-attribution rate than WavMark.,"Provides a proactive, localized watermarking mechanism VOIX can integrate to mark/verify AI-generated voice output, protecting against misuse while staying fast enough for real-time use."
